# Base  Sugar  Phosphate  Total
 2558.840766  2197.533223  2185.324855  6941.698844
 2916.285504  2066.408642  1959.685897  6942.380043
 2897.238475  2222.612460  2092.518941  7212.369877
 2859.864425  2183.604425  2204.238520  7247.707369
 2720.095349  2180.337299  2186.335435  7086.768084
 2914.357494  2263.098146  2156.373776  7333.829417
 2647.925247  2271.207265  2092.740376  7011.872888
 2691.860816  2278.913690  2085.531425  7056.305932
 2429.952842  2184.407453  2126.373192  6740.733486
 2605.370129  2293.497138  2201.117521  7099.984787
 2260.967808  2333.729932  2278.432894  6873.130634
 2690.066589  2313.808277  2176.692054  7180.566920
 2488.177198  2263.620473  2248.812873  7000.610544
 2706.664695  2318.936306  2215.710753  7241.311754
 2638.189427  2345.791968  2280.063791  7264.045186
 2756.317094  2157.702818  2224.337455  7138.357367
 3127.251436  2204.254756  2177.624579  7509.130771
 2654.838179  2293.896963  2257.831311  7206.566453
 3211.165102  2080.836661  2069.740170  7361.741932
 3025.052335  2166.329171  2118.302999  7309.684505
 2643.233210  2184.430322  2194.900202  7022.563734
 2971.770801  2251.324797  2076.604275  7299.699873
 2897.590097  2166.629774  2111.034427  7175.254298
 2671.618723  2303.322852  2253.100739  7228.042314
 2378.271693  2244.803750  2090.072121  6713.147563
 2668.958423  2132.870002  2191.511648  6993.340072
 2238.659489  2085.297479  2048.475966  6372.432935
 2839.097353  2149.495995  2187.579226  7176.172573
 3011.200052  2177.872966  2298.021826  7487.094843
 2992.991507  2263.648457  2124.811387  7381.451352
 2250.631140  2170.202478  2269.044363  6689.877982
 2946.516848  2118.502156  2247.407278  7312.426282
 2657.783098  2274.871090  2179.813944  7112.468131
 2530.373280  2388.193003  2207.289685  7125.855968
 2895.774464  2246.071296  2260.453101  7402.298861
 2629.608511  2310.106279  2257.499276  7197.214067
 2366.870320  2208.243784  2048.668909  6623.783013
 2656.716038  2344.195037  2109.910414  7110.821489
 2753.477895  2183.390666  1856.054860  6792.923421
 2624.185209  2253.923231  2059.022417  6937.130857
 3101.517060  2160.382435  2190.185589  7452.085083
 3254.981005  2123.779524  2107.553338  7486.313867
 2909.137138  2236.266791  2107.235998  7252.639928
 3049.548394  2190.224134  2115.343393  7355.115922
 3397.536383  2194.030661  2097.674692  7689.241736
 2603.350900  2282.812931  2220.547928  7106.711759
 2773.266675  2372.965619  2100.511598  7246.743892
 2653.653743  2208.408515  2204.788937  7066.851196
 2981.026494  2206.316442  2166.655640  7353.998577
 2770.530693  2214.864474  2028.843574  7014.238741
 2866.149454  2251.452151  2226.538187  7344.139791
 2159.146069  2315.721720  2259.880951  6734.748741
 2649.131344  2227.636004  2190.655740  7067.423087
 2636.966662  2212.803481  2262.928906  7112.699048
 3069.205430  2224.439965  2136.074897  7429.720293
 2385.311247  2410.591887  1987.887370  6783.790503
 2706.137499  2271.331691  2111.437654  7088.906845
 2975.989746  2293.590030  2212.878413  7482.458188
 2950.235232  2099.471685  2104.008511  7153.715428
 3231.470516  2242.297126  1995.317404  7469.085047
 2566.804999  2209.352491  2118.236005  6894.393495
 2416.100768  2148.669628  2171.328252  6736.098648
 3107.297190  2221.778867  2171.776556  7500.852613
 2680.808679  2235.460626  2145.543746  7061.813051
 2757.405828  2187.663669  2205.213007  7150.282504
 2766.039246  2225.325643  2172.985868  7164.350756
 2920.606861  2143.620766  2224.615016  7288.842643
 2706.515182  2181.667465  2260.300717  7148.483363
 2768.247320  2171.544624  2088.100196  7027.892139
 2839.086161  2197.181915  2137.150174  7173.418250
 3389.365409  2182.121843  2055.341010  7626.828262
 3007.352905  2199.113112  2113.971190  7320.437207
 2805.574701  2181.943729  2260.347723  7247.866154
 3347.669515  2243.255933  2153.055714  7743.981162
 2703.604471  2207.619807  2179.044548  7090.268827
 2880.903881  2188.352330  1992.087239  7061.343451
 2666.791975  2174.245935  2121.660939  6962.698850
 2644.534390  2308.190477  2237.312096  7190.036963
 2403.822528  2221.972624  2294.929494  6920.724645
 2638.918691  2364.784419  2171.628206  7175.331317
 2485.312684  2249.317510  2103.318739  6837.948933
 2590.655524  2317.612353  2285.174920  7193.442797
 2300.236376  2137.667733  2220.172767  6658.076876
 2461.625339  2338.865420  2204.237313  7004.728072
 2931.054257  2226.832253  2202.915606  7360.802117
 2475.275272  2224.479703  2169.135153  6868.890128
 2580.827751  2282.584305  2263.262679  7126.674735
 2826.504240  2183.607046  2296.683784  7306.795070
 2443.880682  2360.422734  2198.502597  7002.806013
 2550.323590  2382.933287  2174.582094  7107.838971
 2726.514603  2233.340760  2237.556564  7197.411926
 2534.469673  2293.781480  2140.203045  6968.454198
 2741.810529  2286.041275  1988.555907  7016.407711
